,10 Hz,20 Hz,40 Hz,100 Hz
%recurrence_ML_EO,0.6377777777777778,0.44666666666666666,0.27888888888888896,0.41222222222222216
%recurrence_AP_EC,0.5111111111111111,0.4611111111111111,0.5033333333333333,0.3511111111111111
%recurrence_AP_EO,0.44555555555555565,0.54,0.4955555555555556,0.5111111111111113
%determinism_ML_EC,0.6133333333333334,0.4933333333333333,0.36,0.4977777777777777
%determinism_ML_EO,0.49111111111111116,0.58,0.4044444444444445,0.5244444444444445
%determinism_AP_EC,0.6488888888888888,0.6488888888888888,0.36,0.30000000000000004
%determinism_AP_EO,0.6711111111111112,0.528888888888889,0.5866666666666667,0.7133333333333334
RQA_entropy_ML_EC,0.43111111111111117,0.39333333333333337,0.49333333333333335,0.5644444444444445
RQA_entropy_ML_EO,0.4644444444444445,0.4955555555555556,0.42444444444444435,0.5
RQA_entropy_AP_EC,0.6244444444444445,0.6599999999999999,0.6533333333333334,0.5733333333333333
RQA_entropy_AP_EO,0.7266666666666667,0.78,0.7422222222222222,0.5933333333333335
RQA_maxline_ML_EC,0.6566666666666666,0.3666666666666667,0.5755555555555556,0.6088888888888888
RQA_maxline_ML_EO,0.30444444444444446,0.47999999999999987,0.4033333333333333,0.5277777777777779
RQA_maxline_AP_EC,0.39888888888888896,0.5333333333333333,0.6555555555555557,0.6433333333333333
RQA_maxline_AP_EO,0.44333333333333336,0.4255555555555556,0.43,0.4333333333333334
RQA_trend_ML_EC,0.6888888888888889,0.6866666666666666,0.671111111111111,0.6755555555555555
RQA_trend_ML_EO,0.4955555555555556,0.5822222222222223,0.5777777777777777,0.5777777777777777
RQA_trend_AP_EC,0.711111111111111,0.7422222222222222,0.7488888888888889,0.7422222222222222
RQA_trend_AP_EO,0.5955555555555556,0.5333333333333333,0.56,0.5622222222222222
RR_swayarea,0.4644444444444445,0.5022222222222222,0.4822222222222223,0.47555555555555556
VRI_swayarea,0.45777777777777784,0.49777777777777776,0.4822222222222223,0.47777777777777786
RR_pathlength,0.8022222222222222,0.6355555555555555,0.7177777777777778,0.7177777777777778
VRI_rms_displacement_ML,0.5355555555555556,0.54,0.5466666666666667,0.5466666666666667
VRI_rms_displacement_AP,0.4244444444444445,0.4355555555555556,0.4355555555555556,0.428888888888889
VRI_pathlength,0.7888888888888889,0.64,0.7200000000000001,0.7133333333333334
VRI_avg_displacement_ML,0.3244444444444444,0.49333333333333335,0.5044444444444445,0.5044444444444444
VRI_avg_displacement_AP,0.5333333333333334,0.5555555555555556,0.47333333333333333,0.4844444444444445
